aide,ident,annee,init,calib,valeur
garantie,CF_CGT_NIM,2022,0.0,0.0,0.0
garantie,CF_EGT_NISM,2017,0.0,0.0,0.0
garantie,CF_EGT_NISM,2018,0.0,0.0,0.0
garantie,CF_EGT_NISM,2019,0.0,0.0,0.0
garantie,CF_EGT_NISM,2020,0.0,0.0,0.0
garantie,CF_EGT_NISM,2021,0.0,0.0,0.0
garantie,CF_EGT_NISM,2022,0.0,0.0,0.0
garantie,CF_EGT_NIM,2017,0.0,0.0,0.0
garantie,CF_EGT_NIM,2018,0.0,0.0,0.0
garantie,CF_EGT_NIM,2019,0.0,0.0,0.0
garantie,CF_EGT_NIM,2020,0.0,0.0,0.0
garantie,CF_EGT_NIM,2021,0.0,0.0,0.0
garantie,CF_EGT_NIM,2022,0.0,0.0,0.0
garantie,CS,2017,0.0,0.0,0.0
garantie,CS,2018,0.0,0.0,0.0
garantie,CS,2019,0.0,0.0,0.0
garantie,CS,2020,0.0,0.0,0.0
garantie,CS,2021,0.0,0.0,0.0
garantie,CS,2022,0.0,0.0,0.0
garantie,CS_BT_NISM,2017,23.81,23.81,23.81
garantie,CS_BT_NISM,2018,23.81,23.81,23.81
garantie,CS_BT_NISM,2019,23.81,23.81,23.81
garantie,CS_BT_NISM,2020,23.81,23.81,23.81
garantie,CS_BT_NISM,2021,23.81,23.81,23.81
garantie,CS_BT_NISM,2022,23.81,23.81,23.81
garantie,CS_BT_NIM,2017,23.81,23.81,23.81
garantie,CS_BT_NIM,2018,23.81,23.81,23.81
garantie,CS_BT_NIM,2019,23.81,23.81,23.81
garantie,CS_BT_NIM,2020,23.81,23.81,23.81
garantie,CS_BT_NIM,2021,23.81,23.81,23.81
garantie,CS_BT_NIM,2022,23.81,23.81,23.81
garantie,CS_BT_IM,2017,23.81,23.81,23.81
garantie,CS_BT_IM,2018,23.81,23.81,23.81
garantie,CS_BT_IM,2019,23.81,23.81,23.81
garantie,CS_BT_IM,2020,23.81,23.81,23.81
garantie,CS_BT_IM,2021,23.81,23.81,23.81
garantie,CS_BT_IM,2022,23.81,23.81,23.81
garantie,CS_SBT_NISM,2017,23.81,23.81,23.81
garantie,CS_SBT_NISM,2018,23.81,23.81,23.81
garantie,CS_SBT_NISM,2019,23.81,23.81,23.81
garantie,CS_SBT_NISM,2020,23.81,23.81,23.81
garantie,CS_SBT_NISM,2021,23.81,23.81,23.81
garantie,CS_SBT_NISM,2022,23.81,23.81,23.81
garantie,CS_SBT_NIM,2017,23.81,23.81,23.81
garantie,CS_SBT_NIM,2018,23.81,23.81,23.81
garantie,CS_SBT_NIM,2019,23.81,23.81,23.81
garantie,CS_SBT_NIM,2020,23.81,23.81,23.81
garantie,CS_SBT_NIM,2021,23.81,23.81,23.81
garantie,CS_SBT_NIM,2022,23.81,23.81,23.81
garantie,CS_SBT_IM,2017,23.81,23.81,23.81
garantie,CS_SBT_IM,2018,23.81,23.81,23.81
garantie,CS_SBT_IM,2019,23.81,23.81,23.81
garantie,CS_SBT_IM,2020,23.81,23.81,23.81
garantie,CS_SBT_IM,2021,23.81,23.81,23.81
garantie,CS_SBT_IM,2022,23.81,23.81,23.81
garantie,CS_NGT_NISM,2017,23.81,23.81,23.81
garantie,CS_NGT_NISM,2018,23.81,23.81,23.81
garantie,CS_NGT_NISM,2019,23.81,23.81,23.81
garantie,CS_NGT_NISM,2020,23.81,23.81,23.81
garantie,CS_NGT_NISM,2021,23.81,23.81,23.81
garantie,CS_NGT_NISM,2022,23.81,23.81,23.81
garantie,CS_NGT_NIM,2017,23.81,23.81,23.81
garantie,CS_NGT_NIM,2018,23.81,23.81,23.81
garantie,CS_NGT_NIM,2019,23.81,23.81,23.81
garantie,CS_NGT_NIM,2020,23.81,23.81,23.81
garantie,CS_NGT_NIM,2021,23.81,23.81,23.81
garantie,CS_NGT_NIM,2022,23.81,23.81,23.81
garantie,CS_NGT_IM,2017,23.81,23.81,23.81
garantie,CS_NGT_IM,2018,23.81,23.81,23.81
garantie,CS_NGT_IM,2019,23.81,23.81,23.81
garantie,CS_NGT_IM,2020,23.81,23.81,23.81
garantie,CS_NGT_IM,2021,23.81,23.81,23.81
garantie,CS_NGT_IM,2022,23.81,23.81,23.81
garantie,CS_CGT_NISM,2017,23.81,23.81,23.81
garantie,CS_CGT_NISM,2018,23.81,23.81,23.81
garantie,CS_CGT_NISM,2019,23.81,23.81,23.81
garantie,CS_CGT_NISM,2020,23.81,23.81,23.81
garantie,CS_CGT_NISM,2021,23.81,23.81,23.81
garantie,CS_CGT_NISM,2022,23.81,23.81,23.81
garantie,CS_CGT_NIM,2017,23.81,23.81,23.81
garantie,CS_CGT_NIM,2018,23.81,23.81,23.81
garantie,CS_CGT_NIM,2019,23.81,23.81,23.81
garantie,CS_CGT_NIM,2020,23.81,23.81,23.81
garantie,CS_CGT_NIM,2021,23.81,23.81,23.81
garantie,CS_CGT_NIM,2022,23.81,23.81,23.81
garantie,CS_CGT_IM,2017,23.81,23.81,23.81
garantie,CS_CGT_IM,2018,23.81,23.81,23.81
garantie,CS_CGT_IM,2019,23.81,23.81,23.81
garantie,CS_CGT_IM,2020,23.81,23.81,23.81
garantie,CS_CGT_IM,2021,23.81,23.81,23.81
garantie,CS_CGT_IM,2022,23.81,23.81,23.81
garantie,CS_EGT_NISM,2017,23.81,23.81,23.81
garantie,CS_EGT_NISM,2018,23.81,23.81,23.81
garantie,CS_EGT_NISM,2019,23.81,23.81,23.81
garantie,CS_EGT_NISM,2020,23.81,23.81,23.81
garantie,CS_EGT_NISM,2021,23.81,23.81,23.81
garantie,CS_EGT_NISM,2022,23.81,23.81,23.81
garantie,CS_EGT_NIM,2017,23.81,23.81,23.81
garantie,CS_EGT_NIM,2018,23.81,23.81,23.81
